System,Dataset,Model,MAE,MAPE,RMSE
dconvert,png-medium.csv,Linear Regression,0.2786892050466127,0.8172596054000412,0.3553082424578699
dconvert,png-medium.csv,XGBoost,0.19141505341248782,0.612390277405513,0.24319358445793135
dconvert,png-small.csv,Linear Regression,0.45483492586208857,0.8977048010509991,0.6112803003666085
dconvert,png-small.csv,XGBoost,0.43116223137361337,0.9122637834214196,0.5807825017137922
dconvert,png-small.csv,Linear Regression,0.45489348036187244,0.9064376437669068,0.6044223709169465
dconvert,png-small.csv,XGBoost,0.4243287876569663,0.9245538375420687,0.5689772002031647
dconvert,png-small.csv,Linear Regression,0.4513969646310329,0.9036407466273639,0.5869626043196032
dconvert,png-small.csv,XGBoost,0.4186523510104956,0.9140851464274782,0.5517038313297578
dconvert,png-small.csv,Linear Regression,0.4490436188373848,0.9619710594099936,0.5902402880641442
dconvert,png-small.csv,XGBoost,0.4265301469096795,0.9847185889903568,0.5654123876875026
dconvert,png-small.csv,Linear Regression,0.4443797773581952,0.8960184739668249,0.5980018506597219
dconvert,png-small.csv,XGBoost,0.42016960960390404,0.9376157689584887,0.5720214606590485
dconvert,psd-large.csv,Linear Regression,0.04000655199877317,0.07897212725993828,0.06646744360258133
dconvert,psd-large.csv,XGBoost,0.0412438541565008,0.08122411023029596,0.06862202612631048
dconvert,psd-large.csv,Linear Regression,0.039525924588037976,0.0755603879081571,0.0642829791795946
dconvert,psd-large.csv,XGBoost,0.03995558680715391,0.07662494411747799,0.06617888740489021
dconvert,psd-large.csv,Linear Regression,0.04030793025698859,0.07655059653944082,0.06537705205538806
dconvert,psd-large.csv,XGBoost,0.039814473521177694,0.07598236082636432,0.06629495308980533
dconvert,psd-large.csv,Linear Regression,0.039014701484044616,0.07739724418170577,0.06230799962698487
dconvert,psd-large.csv,XGBoost,0.03948541190246298,0.07783934730994577,0.06418725274882378
dconvert,psd-large.csv,Linear Regression,0.04010294462488436,0.07631752245878497,0.06719923863157544
dconvert,psd-large.csv,XGBoost,0.0409853553851787,0.07779824969978646,0.06959650562464993
dconvert,psd-medium.csv,Linear Regression,0.3581822035289035,1.601607834941853,0.4795625804938695
dconvert,psd-medium.csv,XGBoost,0.15577971838762122,0.6922722481197686,0.2022737774428239
dconvert,psd-medium.csv,Linear Regression,0.35401617447564965,1.527151402641664,0.4660279259710918
dconvert,psd-medium.csv,XGBoost,0.1617921418492409,0.7157435033750271,0.20551283319919667
dconvert,psd-medium.csv,Linear Regression,0.3547464108655456,1.657083652075251,0.4673904022385599
dconvert,psd-medium.csv,XGBoost,0.15898831588572804,0.739967303583008,0.20518495304576953
dconvert,psd-medium.csv,Linear Regression,0.3634052821225571,1.6749705941565856,0.4828802750684889
dconvert,psd-medium.csv,XGBoost,0.15773890216450762,0.7514568129060073,0.20122129391948054
dconvert,psd-medium.csv,Linear Regression,0.3675375580964691,1.6599250765997198,0.48495093997408806
dconvert,psd-medium.csv,XGBoost,0.16036360578421502,0.7349118183790713,0.20615122212312906
dconvert,psd-small.csv,Linear Regression,0.4741569223995397,2.029548006491357,0.5936338106892219
dconvert,psd-small.csv,XGBoost,0.4611879508329429,2.165300208043525,0.5831954278503756
dconvert,psd-small.csv,Linear Regression,0.47172855479351633,2.0152408327267253,0.5905358901877861
dconvert,psd-small.csv,XGBoost,0.4613960012084956,2.1344405762792764,0.5826361592301922
dconvert,psd-small.csv,Linear Regression,0.479453530301446,1.8012969529744631,0.5967718115033077
dconvert,psd-small.csv,XGBoost,0.46090261455344433,1.894259661633301,0.5826041077622832
dconvert,psd-small.csv,Linear Regression,0.46972061183173763,1.8218977736028683,0.5888650561327406
dconvert,psd-small.csv,XGBoost,0.45174561396363255,1.9201408415813948,0.5746569565777465
dconvert,psd-small.csv,Linear Regression,0.49268889346554523,2.003118463002834,0.6135285750794716
dconvert,psd-small.csv,XGBoost,0.47377479434412534,2.0229952033362166,0.6007259823116726
dconvert,svg-large.csv,Linear Regression,0.7902144867883104,1.0083967724982323,1.0280038393852
dconvert,svg-large.csv,XGBoost,0.8303133506340765,1.2236295688468928,1.0781157290932808
dconvert,svg-large.csv,Linear Regression,0.7989679576280737,1.0141456361591557,1.0035048105345006
dconvert,svg-large.csv,XGBoost,0.8407055323634727,1.2291207767444194,1.0648185555815737
dconvert,svg-large.csv,Linear Regression,0.7796052695905157,0.9995930970786093,1.0170420820081965
dconvert,svg-large.csv,XGBoost,0.8101167746186299,1.1838028299517884,1.0649032897373452
dconvert,svg-large.csv,Linear Regression,0.7726846609443382,1.0133215489737528,0.979989302759335
dconvert,svg-large.csv,XGBoost,0.804890621717199,1.2097243991162505,1.0249771114227473
dconvert,svg-large.csv,Linear Regression,0.7963507878490755,0.9962465729137238,1.0302651197934267
dconvert,svg-large.csv,XGBoost,0.8175947494135766,1.1771259542605688,1.0598172891697477
